"T?tulo","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, ISR","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, IETU","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, IDE","Ingresos Presupuestales del Sector P?blico, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, Petroleros, Gobierno Federal, ISR de contratistas y asignatarios","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, IVA","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, IEPS","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, IEPS, IEPS gasolinas y diesel","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, IEPS, IEPS distinto de gasolinas y diesel","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, lmpuestos al comercio exterior","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, lmpuestos al comercio exterior, Importaciones","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, lmpuestos al comercio exterior, Exportaciones","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, IRP 5/","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, IAEEH 6/","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, Otros 7/","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, No tributarios","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, No tributarios, Transferencias del FMPED 8/","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, No tributarios, Derechos","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, No tributarios, Derechos, Hidrocarburos","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, No tributarios, Derechos, Otros","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, No tributarios, Productos","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, No tributarios, Aprovechamientos","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Ingreso total, No tributarios, Accesorios","Ingresos y Gastos Presupuestales del Gobierno Federal, Medici?n por Ingreso-Gasto, Flujos de Caja, Balance econ?mico"
"Periodo disponible","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020","Ene 1977 - Sep 2020"
"Periodicidad","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual"
"Cifra","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados"
"Unidad","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos"
"Base","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aviso","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tipo de informaci?n","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles"
"Fecha","SG9","SG10","SG80","SG910","SG911","SG1459","SG81","SG54","SG79","SG55","SG82","SG83","SG84","SG616","SG1454","SG43","SG11","SG1455","SG56","SG78","SG62","SG63","SG64","SG65","SG61"
01/01/2012,256440.7,142789.9,92229.3,3965.7,-3742.4,N/E,56305.3,-11391.7,-18121.7,6730.0,2409.6,2409.6,0.0,137.9,N/E,2876.1,113650.8,N/E,106188.4,101599.1,4589.3,407.0,7055.5,0.0,13255.0
01/02/2012,442829.0,248083.8,148122.3,8489.3,-2340.4,N/E,99902.6,-16269.9,-33259.8,16989.9,4558.2,4558.1,0.1,255.3,N/E,5366.4,194745.2,N/E,181680.9,173437.1,8243.8,809.7,12254.6,0.0,-36211.1
01/03/2012,631710.3,354794.4,217675.8,14205.4,-4088.4,N/E,140924.3,-30047.4,-50599.6,20552.2,6543.8,6543.5,0.3,18.6,N/E,9562.5,276916.0,N/E,257590.9,246706.7,10884.1,1529.6,17791.2,4.4,-77589.6
01/04/2012,846053.8,464972.2,288058.2,16298.7,589.7,N/E,185478.2,-45709.6,-70188.0,24478.4,8604.7,8604.5,0.3,-435.8,N/E,12088.1,381081.6,N/E,357258.1,343316.3,13941.8,2112.7,21706.3,4.4,-76043.6
