CICLO,ID_ENTIDAD_FEDERATIVA,ENTIDAD_FEDERATIVA,MONTO_IMPUESTOS,MONTO_DERECHOS,MONTO_PREDIAL,MONTO_AGUA,TOTAL_RECAUDACION_LOCAL,MONTO_RECAUDADO_PERCAPITA ,LUGAR_NACIONAL_PERCAPITA,PROMEDIO_RECAUDACION_PERCAPITA_NACIONAL,POBLACION
2004,01,Aguascalientes,54341000,138490000,99333635,350558724,642723359,681,15,798,944285
2005,01,Aguascalientes,77628000,203470000,106979007,392084179,780161186,732,16,842,1065416
2006,01,Aguascalientes,174415000,177776000,111779710,445213089,909183799,853,16,951,1065416
2007,01,Aguascalientes,329679000,210972000,122742263,469502103,1132895366,1063,13,1089,1065416
2008,01,Aguascalientes,320583000,221498000,130375753,505146667,1177603420,1105,16,1209,1065416
2009,01,Aguascalientes,476498000,205296000,144322728,551366343,1377483071,1293,13,1235,1065416
2010,01,Aguascalientes,496504000,449298764,164036641,610276678,1720116083,1452,12,1277,1184996
2011,01,Aguascalientes,556580000,524420862,197749319,666226634,1944976815,1641,12,1469,1184996
2012,01,Aguascalientes,655249588,715901790,226234926,715938069,2313324373,1952,12,1692,1184996
2013,01,Aguascalientes,836986077,328124842,255519348,746437531,2167067797,1829,14,1694,1184996
2014,01,Aguascalientes,652590243,378108866,270991970,798254688,2099945767,1772,14,1780,1184996
2015,01,Aguascalientes,753498127,422779366,288845589,822402937,2287526018,1743,14,1796,1312544
2016,01,Aguascalientes,743362618,460400268,309836657,852764929,2366364471,1803,15,1950,1312544
2017,01,Aguascalientes,782799969,453786581,334349309,901116079,2472051939,1883,15,2107,1312544
2018,01,Aguascalientes,921516776,710483760,362450269,986716805,2981167610,2271,13,2245,1312544
2019,01,Aguascalientes,1073736875,684775785,400797451,1073096441,3232406552,2463,14,2487,1312544
2004,02,Baja California,953337825,781690525,479753268,2038951066,4253732684,1710,3,798,2487367
2005,02,Baja California,1036449134,722981199,559132188,2257197333,4575759854,1609,4,842,2844469
2006,02,Baja California,1134038433,809916962,592544870,2400620825,4937121090,1736,5,951,2844469
2007,02,Baja California,1280240372,895627619,615385666,2554787560,5346041217,1879,5,1089,2844469
2008,02,Baja California,1326020384,882888332,805009539,2662439989,5676358244,1996,6,1209,2844469
2009,02,Baja California,1250609439,767448369,850003648,2770432613,5638494069,1982,5,1235,2844469
2010,02,Baja California,1380895979,1126097745,813959138,2866412419,6187365281,1961,4,1277,3155070
2011,02,Baja California,1762861136,939141616,937195243,2974762277,6613960272,2096,8,1469,3155070
2012,02,Baja California,2091220860,976043716,1030287824,3085241285,7182793685,2277,8,1692,3155070
2013,02,Baja California,2169076993,842409135,1068570399,3399219167,7479275694,2371,7,1694,3155070
2014,02,Baja California,2322357518,856197225,1057280978,3509541572,7745377293,2455,8,1780,3155070
2015,02,Baja California,2575378947,878570798,1260506850,3908606722,8623063317,2601,6,1796,3315766
2016,02,Baja California,2953581855,1060565947,1423102467,4198905114,9636155383,2906,7,1950,3315766
2017,02,Baja California,3687641436,1121388411,1480086292,4510001728,10799117867,3257,7,2107,3315766
2018,02,Baja California,3875678580,1036498385,1556202808,5059841592,11528221365,3477,7,2245,3315766
2019,02,Baja California,4168785726,1265436752,1596279814,5635909383,12666411675,3820,7,2487,3315766
2004,03,Baja California Sur,120525000,1497000,142143161,293274854,557440015,1315,6,798,424041
